Case #1
Cathy (CEO) 2007
-Karl (VP) 2009
--Fred (Technician) 2010
Case #2
Nancy (CEO) 2007
-Karl (Manager) 2009
--Adam (Technician) 2010
--Bob (Technician) 2012
--Cathy (Technician) 2013
-Wendy (Technician) 2012
Case #3
Karl (CEO) 2005
-Ryan (VP) 2007
--Dan (Director) 2008
---Jill (Manager) 2012
----Amy (Technician) 2012
----Katie (Technician) 2007
----Matt (Technician) 2007
---Wendy (Manager) 2010
----Ed (Technician) 2007
----Liam (Technician) 2007
----Nancy (Technician) 2013
----Ned (Technician) 2009
----Patty (Technician) 2008
--Jack (Director) 2009
---Lilly (Manager) 2007
----Mary (Technician) 2013
-Vince (VP) 2009
--Cathy (Director) 2006
---Betty (Manager) 2012
----Oscar (Technician) 2006
---Fred (Technician) 2010
--Susan (Director) 2009
---Adam (Technician) 2011
---Bob (Manager) 2010
----Paul (Technician) 2007
---Carl (Technician) 2010
---Sam (Technician) 2008
---Tom (Technician) 2011
Case #4
Amy (CEO) 2005
-Carl (Manager) 2008
--Adam (Technician) 2008
--Mary (Technician) 2011
--Sam (Technician) 2006
--Vince (Technician) 2012
--Wendy (Technician) 2006
-Katie (Director) 2011
--Bob (Manager) 2012
---Karl (Technician) 2010
---Patty (Technician) 2013
--Dan (Manager) 2009
---Fred (Technician) 2010
---Liam (Technician) 2010
--Ned (Manager) 2009
---Betty (Technician) 2012
---Ed (Technician) 2012
---Jack (Technician) 2009
--Oscar (Manager) 2011
---Jill (Technician) 2012
---Ryan (Technician) 2013
---Susan (Technician) 2007
--Paul (Manager) 2011
---Matt (Technician) 2012
--Tom (Technician) 2008
-Nancy (Technician) 2011
Case #5
Amy (CEO) 2005
-Dan (VP) 2009
--Bob (VP) 2006
---Cathy (Manager) 2010
----Jill (Technician) 2009
----Karl (Technician) 2012
----Lilly (Technician) 2012
----Ned (Technician) 2012
----Susan (Technician) 2013
---Jack (Manager) 2007
----Tom (Technician) 2010
---Mary (Director) 2007
----Patty (Manager) 2010
-----Wendy (Technician) 2006
---Paul (Director) 2010
----Betty (Manager) 2010
-----Vince (Technician) 2006
----Fred (Technician) 2013
----Liam (Technician) 2010
--Sam (Director) 2006
---Adam (Manager) 2008
----Katie (Technician) 2013
Case #6
Amy (CEO) 2005
-Betty (Manager) 2008
--Jill (Technician) 2008
-Jack (Director) 2010
